# time = 180.001
# Grid Points = 1024
                 # mixf_00                 # mixf_01                 # mixf_02
  -5.0000000000e-01  -3.6258750467e-01  -2.6494649097e-01
  -5.0000000000e-01  -3.6258750467e-01  -2.6494649097e-01
  -5.0000000000e-01  -3.6258750467e-01  -2.6494649097e-01
  -5.0000000000e-01  -3.6258750467e-01  -2.6494649097e-01
  -5.0000000000e-01  -3.6258750467e-01  -2.6494649097e-01
  -5.0000000000e-01  -3.6258750467e-01  -2.6494649097e-01
  -5.0000000000e-01  -3.6258750467e-01  -2.7076874259e-01
  -5.0000000000e-01  -3.6258750467e-01  -2.7076874259e-01
  -5.0000000000e-01  -3.6258750467e-01  -4.8970663048e-01
  -5.0000000000e-01  -3.6258750467e-01  -4.8970663048e-01
  -5.0000000000e-01  -3.6258750467e-01  -7.5119861158e-02
  -5.0000000000e-01  -3.6258750467e-01  -7.5119861158e-02
  -5.0000000000e-01  -3.6258750467e-01  -2.7076874259e-01
  -5.0000000000e-01  -3.6258750467e-01  -2.7076874259e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6348361700e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6348361700e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6348361700e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6348361700e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6348361700e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6348361700e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6348361700e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6348361700e-01
  -5.0000000000e-01  -5.5276879554e-01  -6.9857469905e-01
  -5.0000000000e-01  -5.5276879554e-01  -6.9857469905e-01
  -5.0000000000e-01  -5.5276879554e-01  -6.9857469905e-01
  -5.0000000000e-01  -5.5276879554e-01  -6.9857469905e-01
  -5.0000000000e-01  -5.5276879554e-01  -3.4219772062e-01
  -5.0000000000e-01  -5.5276879554e-01  -3.4219772062e-01
  -5.0000000000e-01  -5.5276879554e-01  -1.0549516775e+00
  -5.0000000000e-01  -5.5276879554e-01  -1.0549516775e+00
  -5.0000000000e-01  -5.5276879554e-01  -4.1983961109e-01
  -5.0000000000e-01  -5.5276879554e-01  -4.1983961109e-01
  -5.0000000000e-01  -5.5276879554e-01  -4.1983961109e-01
  -5.0000000000e-01  -5.5276879554e-01  -4.1983961109e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6000471158e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6000471158e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6000471158e-01
  -5.0000000000e-01  -5.5276879554e-01  -5.6000471158e-01
  -5.0000000000e-01  -5.5276879554e-01  -7.6080594899e-01
  -5.0000000000e-01  -5.5276879554e-01  -7.6080594899e-01
  -5.0000000000e-01  -5.5276879554e-01  -2.2775420756e-01
  -5.0000000000e-01  -5.5276879554e-01  -2.2775420756e-01
  -5.0000000000e-01  -5.5276879554e-01  -3.2945306662e-01
  -5.0000000000e-01  -5.5276879554e-01  -3.2945306662e-01
  -5.0000000000e-01  -5.5276879554e-01  -7.6080594899e-01
  -5.0000000000e-01  -5.5276879554e-01  -7.6080594899e-01
  -5.0000000000e-01  -5.3324791634e-01  -4.9546709740e-01
  -5.0000000000e-01  -5.3324791634e-01  -4.9546709740e-01
  -5.0000000000e-01  -5.3324791634e-01  -4.9546709740e-01
  -5.0000000000e-01  -5.3324791634e-01  -4.9546709740e-01
  -5.0000000000e-01  -5.3324791634e-01  -1.2124256141e+00
  -5.0000000000e-01  -5.3324791634e-01  -1.2124256141e+00
  -5.0000000000e-01  -5.3324791634e-01  -3.8808876212e-01
  -5.0000000000e-01  -5.3324791634e-01  -3.8808876212e-01
  -5.0000000000e-01  -5.3324791634e-01  -9.5743346585e-01
  -5.0000000000e-01  -5.3324791634e-01  -9.5743346585e-01
